Comparison,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
LC_vs_Healthy,GO:0070661,leukocyte proliferation,60,0.6091815422148954,1.79240311736914,1.855237597769109e-6,1.1574621234970607e-4,8.803284082042239e-5,716,"tags=37%, list=17%, signal=31%",PTPRC/LGALS9/MNDA/HLA-A/HLA-DPB1/HLA-DRB1/MSN/HMGB1/RAC2/TFRC/HLA-E/HLA-G/CTPS1/CD74/LYN/NCK1/BST2/NCKAP1L/CLU/NCK2/PRKAR1A/CEBPB,0.6435518361507222
LC_vs_Healthy,GO:0046165,alcohol biosynthetic process,56,-0.3603379950589123,-1.792078798692625,0.0012191214395402188,0.011602316750878524,0.008824348399343564,484,"tags=29%, list=11%, signal=26%",APOE/GBA1/MVD/CYB5R3/PMVK/MSMO1/NSDHL/TM7SF2/FDFT1/MVK/FDPS/HMGCS2/DHCR24/CYP51A1/DHCR7/HMGCS1,0.45505986738722953
LC_vs_Healthy,GO:0070665,positive regulation of leukocyte proliferation,32,0.6487489207956724,1.7916770815537404,2.3109988987530974e-4,0.0036045163379162895,0.00274147902180751,460,"tags=38%, list=11%, signal=34%",PTPRC/LGALS9/HLA-A/HLA-DPB1/HMGB1/TFRC/HLA-E/CD74/LYN/NCK1/BST2/NCKAP1L,0.5188480777437918
LC_vs_Healthy,GO:0006909,phagocytosis,99,0.5733090454599983,1.7798784299121186,1.3470858185517577e-7,5.042591247445413e-5,3.8352324762698337e-5,821,"tags=46%, list=19%, signal=38%",ITGB2/CORO1A/PTPRC/ITGAM/CALR/CSK/ELMO1/HMGB1/RAC1/CD47/RAB14/RAB39A/TGM2/PECAM1/PRKCD/ITGAX/MYO1G/RAP1A/RAB27A/HCK/LYN/SRC/YES1/NCKAP1L/ANXA3/MYO18A/TM9SF4/MYH9/NCF4/VIPAS39/PAK1/PLCG2/PRKACA/CDC42/ARAP1/FGR/C4BPA/DOCK2/LMAN2/CYBA/ELMO2/ANXA11/SNX3/MYD88/DYSF/VAMP7,0.6901324587967956
LC_vs_Healthy,GO:0061448,connective tissue development,41,-0.392169691850759,-1.773006730710517,0.0014683206150604144,0.012983297735493653,0.009874678053564538,380,"tags=29%, list=9%, signal=27%",MAPK14/COL3A1/ACTA2/NFIB/TGFBI/HMGCS2/GPLD1/ACAT1/EFEMP1/COL2A1/LUM/OGN,0.45505986738722953
LC_vs_Healthy,GO:0019882,antigen processing and presentation,57,0.6014335169591274,1.7668836371768237,8.489380532653803e-6,3.0083805646484516e-4,2.2880773547457e-4,381,"tags=39%, list=9%, signal=36%",CTSS/TAP2/CALR/HLA-A/HLA-C/HLA-DPB1/HLA-DRB1/TAP1/AP3B1/YTHDF1/RAB10/RAB35/RAB8B/RAB4A/RAB6A/HLA-B/HLA-E/HLA-G/PDIA3/CD74/HLA-DRB5/RAB27A,0.5933254763964051
LC_vs_Healthy,GO:0002768,immune response-regulating cell surface receptor signaling pathway,94,0.575000533497619,1.7649065323540216,2.331492805891601e-7,6.54566605254067e-5,4.978422757592885e-5,717,"tags=39%, list=17%, signal=33%",GBP1/PTPRC/ITGAM/MNDA/HLA-A/HLA-DPB1/HLA-DRB1/PTPN6/CSK/BAX/UBE2N/AP3B1/HMGB1/CD47/HLA-G/PRKCD/WDFY1/GRB2/RELA/MYO1G/RAP1A/HCK/LYN/SRC/YES1/NCK1/PAK2/NCKAP1L/PAK1/PLCG2/HLA-DRB3/KHDRBS1/FGR/CLEC2B/LCK/EIF2B4/CYBA,0.6901324587967956
LC_vs_Healthy,GO:0002695,negative regulation of leukocyte activation,48,0.602056531994736,1.7598355720114982,5.9682540014146974e-5,0.0014260317539550437,0.0010845938182538798,1194,"tags=62%, list=28%, signal=45%",PTPRC/LGALS9/MNDA/GRN/HLA-DRB1/PTPN6/CSK/PSMA4/HMGB1/PSMB8/HLA-E/HLA-G/LYN/SRC/PSMA3/FN1/PSMA2/PSMB9/FGR/PSMA7/PRKAR1A/CEBPB/PSMB2/PSMB1/PSMB10/PSMB4/PSMA1/PSMA6/BTK/STAT5A,0.557332238758646
LC_vs_Healthy,GO:0002444,myeloid leukocyte mediated immunity,39,0.6182526911520483,1.7561087910713273,6.534542194827914e-5,0.001497610384651377,0.0011390342191474829,1182,"tags=56%, list=28%, signal=41%",ITGB2/ITGAM/LGALS9/SERPINB9/VAMP8/RAC2/HLA-E/LYN/ANXA3/FGR/DDX21/RIGI/VAMP2/VAMP7/MPO/ACE/WDR1/JAGN1/ADAM17/STXBP2/GNAI1/BTK,0.5384340963099162
LC_vs_Healthy,GO:0050870,positive regulation of T cell activation,69,0.585628156407923,1.754339580925888,3.5318051495247633e-6,1.7244422534418738e-4,1.3115552320848314e-4,682,"tags=39%, list=16%, signal=33%",PTPRC/LGALS9/HLA-A/HLA-DPB1/HLA-DRB1/PTPN6/CSK/CYRIB/AP3B1/HMGB1/CD47/TFRC/HLA-E/HLA-G/SMARCC2/HLA-DRB5/LYN/SRC/YES1/NCK1/SART1/NCKAP1L/HSPH1/HLA-DRB3/HLA-DRA/LCK/NCK2,0.6272567397185284
LC_vs_Healthy,GO:0019079,viral genome replication,46,0.6096708517564335,1.7530455627342885,3.0388473479946166e-5,7.755967208631715e-4,5.898938831993886e-4,783,"tags=48%, list=18%, signal=39%",IFI16/PPIE/ADAR/VAPB/VAPA/OAS3/PCBP2/PCBP3/IFITM3/RAD23A/DEK/BST2/ILF3/PABPC1/EIF2AK2/LARP1/TOP2B/FMR1/ZC3HAV1/TMEM41B/STAU1/IFIT1,0.5756102610711286
LC_vs_Healthy,GO:0034308,primary alcohol metabolic process,36,-0.4198465662129648,-1.7490295487446748,0.001101240461295311,0.010753852504648992,0.008179033823481044,449,"tags=31%, list=11%, signal=28%",ACP3/SDR9C7/RDH11/SDR16C5/LIPE/RETSAT/AKR1C2/ALDH3A2/AKR1C3/ADH1B/ACSS2,0.45505986738722953
